,price,unit_price,xiaoqu,huxing,mianji,chaoxiang,zhuangxiu,dianti,house_type,area
191,605,单价64506元/平米,乐业公寓  , 2室2厅 , 93.79平米 , 南 北 , 精装 , 无电梯,高楼层(共6层)1999年建板楼  ,  闸北公园
192,780,单价72843元/平米,精文城上城  , 2室2厅 , 107.08平米 , 南 , 精装 , 有电梯,低楼层(共30层)2004年建板楼  ,  西藏北路
193,780,单价89021元/平米,绿地泾南公寓  , 2室2厅 , 87.62平米 , 南 北 , 精装 , 无电梯,高楼层(共6层)2001年建板楼  ,  洋泾
194,1750,单价75581元/平米,虹桥河滨花园  , 3室2厅 , 231.54平米 , 南 , 精装 , 有电梯,中楼层(共35层)2004年建板楼  ,  中山公园
195,275,单价38903元/平米,丰水宝邸(东苑)  , 2室1厅 , 70.69平米 , 南 , 精装 , 有电梯,中楼层(共6层)2005年建板楼  ,  顾村
196,325,单价43648元/平米,景舒苑六村  , 2室2厅 , 74.46平米 , 南 北 , 精装 , 无电梯,高楼层(共6层)2006年建板楼  ,  浦江
197,248,单价34474元/平米,华亭新家百合苑  , 2室1厅 , 71.94平米 , 南 , 简装 , 无电梯,低楼层(共6层)2006年建板楼  ,  松江老城
198,890,单价46522元/平米,达安圣芭芭花园   , 联排别墅 , 4室2厅 , 191.31平米 , 南 , 精装 ,3层2011年建板楼  ,  莘闵别墅
199,860,单价91208元/平米,新福康里(公寓)  , 2室2厅 , 94.29平米 , 南 , 精装 , 有电梯,低楼层(共7层)2001年建板楼  ,  南京西路
200,620,单价49996元/平米,南华苑  , 3室2厅 , 124.01平米 , 南 北 , 精装 , 无电梯,低楼层(共6层)1996年建板楼  ,  大华
201,1260,单价85366元/平米,西雅图嘉萱苑  , 3室2厅 , 147.6平米 , 南 , 精装 , 有电梯,低楼层(共26层)2004年建板楼  ,  龙华
202,950,单价66864元/平米,金都苑  , 3室2厅 , 142.08平米 , 东北 , 毛坯 , 有电梯,高楼层(共26层)1996年建板楼  ,  中山公园
